t,Eint,Ekin,Wext,Etot,Ebal
0.000000e+00,1.232867e-03,1.248244e-02,0.000000e+00,1.371531e-02,-1.371531e-02
1.000260e-04,4.802020e-01,6.383016e-01,0.000000e+00,1.118504e+00,-1.118504e+00
2.000096e-04,8.626194e-01,9.764579e-01,0.000000e+00,1.839077e+00,-1.839077e+00
3.000481e-04,1.802336e+00,6.810751e-01,0.000000e+00,2.483411e+00,-2.483411e+00
4.000981e-04,2.806971e+00,4.584518e-01,0.000000e+00,3.265423e+00,-3.265423e+00
5.001627e-04,3.786429e+00,5.630141e-01,0.000000e+00,4.349443e+00,-4.349443e+00
6.001939e-04,4.703923e+00,6.727200e-01,0.000000e+00,5.376643e+00,-5.376643e+00
7.002426e-04,5.680380e+00,4.909023e-01,0.000000e+00,6.171283e+00,-6.171283e+00
8.003116e-04,6.634275e+00,4.894025e-01,0.000000e+00,7.123677e+00,-7.123677e+00
9.003755e-04,7.607598e+00,5.665515e-01,0.000000e+00,8.174149e+00,-8.174149e+00
1.000432e-03,8.601126e+00,4.754349e-01,0.000000e+00,9.076560e+00,-9.076560e+00
1.100501e-03,9.609316e+00,4.158983e-01,0.000000e+00,1.002521e+01,-1.002521e+01
1.200569e-03,1.064150e+01,4.814425e-01,0.000000e+00,1.112295e+01,-1.112295e+01
1.300632e-03,1.168479e+01,4.709151e-01,0.000000e+00,1.215571e+01,-1.215571e+01
1.400701e-03,1.274402e+01,4.720527e-01,0.000000e+00,1.321607e+01,-1.321607e+01
1.500765e-03,1.381231e+01,5.108439e-01,0.000000e+00,1.432315e+01,-1.432315e+01
1.600833e-03,1.488884e+01,4.845439e-01,0.000000e+00,1.537339e+01,-1.537339e+01
1.700902e-03,1.597367e+01,5.121240e-01,0.000000e+00,1.648580e+01,-1.648580e+01
1.800966e-03,1.706525e+01,5.465040e-01,0.000000e+00,1.761175e+01,-1.761175e+01
1.900041e-03,1.815369e+01,5.339103e-01,0.000000e+00,1.868760e+01,-1.868760e+01
2.000107e-03,1.926094e+01,5.418486e-01,0.000000e+00,1.980279e+01,-1.980279e+01
2.100171e-03,2.037633e+01,5.590149e-01,0.000000e+00,2.093535e+01,-2.093535e+01
2.200235e-03,2.149883e+01,5.499552e-01,0.000000e+00,2.204878e+01,-2.204878e+01
2.300300e-03,2.262813e+01,5.464896e-01,0.000000e+00,2.317462e+01,-2.317462e+01
2.400364e-03,2.376377e+01,5.376612e-01,0.000000e+00,2.430143e+01,-2.430143e+01
2.500427e-03,2.490491e+01,5.276714e-01,0.000000e+00,2.543258e+01,-2.543258e+01
2.600490e-03,2.605078e+01,5.171830e-01,0.000000e+00,2.656796e+01,-2.656796e+01
2.700554e-03,2.720117e+01,5.003470e-01,0.000000e+00,2.770151e+01,-2.770151e+01
2.800617e-03,2.835591e+01,4.994383e-01,0.000000e+00,2.885535e+01,-2.885535e+01
2.900679e-03,2.951498e+01,4.887652e-01,0.000000e+00,3.000374e+01,-3.000374e+01
3.000742e-03,3.067833e+01,4.823758e-01,0.000000e+00,3.116070e+01,-3.116070e+01
3.100804e-03,3.184595e+01,4.882527e-01,0.000000e+00,3.233420e+01,-3.233420e+01
3.200866e-03,3.301787e+01,4.782118e-01,0.000000e+00,3.349608e+01,-3.349608e+01
3.300929e-03,3.419393e+01,4.811901e-01,0.000000e+00,3.467512e+01,-3.467512e+01
3.400991e-03,3.537391e+01,4.868407e-01,0.000000e+00,3.586075e+01,-3.586075e+01
3.500062e-03,3.654590e+01,4.830520e-01,0.000000e+00,3.702895e+01,-3.702895e+01
3.600125e-03,3.773305e+01,4.905068e-01,0.000000e+00,3.822356e+01,-3.822356e+01
3.700187e-03,3.892338e+01,4.928454e-01,0.000000e+00,3.941622e+01,-3.941622e+01
3.800249e-03,4.011664e+01,4.960069e-01,0.000000e+00,4.061265e+01,-4.061265e+01
3.900311e-03,4.131266e+01,5.039657e-01,0.000000e+00,4.181663e+01,-4.181663e+01
4.000373e-03,4.251130e+01,5.067396e-01,0.000000e+00,4.301804e+01,-4.301804e+01
4.100433e-03,4.371238e+01,5.143197e-01,0.000000e+00,4.422670e+01,-4.422670e+01
4.200440e-03,4.491524e+01,5.203954e-01,0.000000e+00,4.543563e+01,-4.543563e+01
4.300381e-03,4.611966e+01,5.240783e-01,0.000000e+00,4.664373e+01,-4.664373e+01
4.400265e-03,4.732569e+01,5.295349e-01,0.000000e+00,4.785522e+01,-4.785522e+01
4.500095e-03,4.853333e+01,5.327377e-01,0.000000e+00,4.906606e+01,-4.906606e+01
4.600861e-03,4.975452e+01,5.346329e-01,0.000000e+00,5.028915e+01,-5.028915e+01
